Operation,DN,Attribute: Value
change,def,"('30,dc=C-NTDB', '2,dc=C-NTDB')"
change,"['soapService=ARTL-NTMS-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 0]","('http://10.113.45.4:10180/NotificationService/services/Common', 'http://10.113.37.4:10180/NotificationService/services/Common')"
change,"['soapService=ARTL-NTMS-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 1]","('http://10.113.37.4:10180/NotificationService/services/Common', 'http://10.113.21.4:10180/NotificationService/services/Common')"
change,"['soapService=ARTL-NTMS-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 2]","('http://10.113.21.4:10180/NotificationService/services/Common', 'http://10.113.45.4:10180/NotificationService/services/Common')"
change,"['soapService=BHMSYNC-RR-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 0]","('http://10.113.45.4:10180/NotificationService/services/Common', 'http://10.113.37.4:10180/NotificationService/services/Common')"
change,"['soapService=BHMSYNC-RR-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 1]","('http://10.113.37.4:10180/NotificationService/services/Common', 'http://10.113.21.4:10180/NotificationService/services/Common')"
change,"['soapService=BHMSYNC-RR-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 2]","('http://10.113.21.4:10180/NotificationService/services/Common', 'http://10.113.45.4:10180/NotificationService/services/Common')"
change,"['soapService=PGW-BC,configType=soapClient,config=sdf,', 'soapUrlList', 0]","('http://10.113.45.4:10180/NotificationService/services/Common', 'http://10.113.37.4:10180/NotificationService/services/Common')"
change,"['soapService=PGW-BC,configType=soapClient,config=sdf,', 'soapUrlList', 1]","('http://10.113.37.4:10180/NotificationService/services/Common', 'http://10.113.21.4:10180/NotificationService/services/Common')"
change,"['soapService=PGW-BC,configType=soapClient,config=sdf,', 'soapUrlList', 2]","('http://10.113.21.4:10180/NotificationService/services/Common', 'http://10.113.45.4:10180/NotificationService/services/Common')"
change,"['soapService=PGW-CHG-OVR-SERVICE,configType=soapClient,config=sdf,', 'soapUrlList', 0]","('http://10.113.45.4:10180/NotificationService/services/Common', 'http://10.113.37.4:10180/NotificationService/services/Common')"
change,"['soapService=PGW-CHG-OVR-SERVICE,configType=soapClient,config=sdf,', 'soapUrlList', 1]","('http://10.113.37.4:10180/NotificationService/services/Common', 'http://10.113.21.4:10180/NotificationService/services/Common')"
change,"['soapService=PGW-CHG-OVR-SERVICE,configType=soapClient,config=sdf,', 'soapUrlList', 2]","('http://10.113.21.4:10180/NotificationService/services/Common', 'http://10.113.45.4:10180/NotificationService/services/Common')"
change,"['soapService=EIR-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 0]","('http://10.113.45.4:10180/NotificationService/services/Common', 'http://10.113.37.4:10180/NotificationService/services/Common')"
change,"['soapService=EIR-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 1]","('http://10.113.37.4:10180/NotificationService/services/Common', 'http://10.113.21.4:10180/NotificationService/services/Common')"
change,"['soapService=EIR-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 2]","('http://10.113.21.4:10180/NotificationService/services/Common', 'http://10.113.45.4:10180/NotificationService/services/Common')"
change,"['soapService=HLR-RR-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 0]","('http://10.113.45.4:10180/NotificationService/services/Common', 'http://10.113.37.4:10180/NotificationService/services/Common')"
change,"['soapService=HLR-RR-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 1]","('http://10.113.37.4:10180/NotificationService/services/Common', 'http://10.113.21.4:10180/NotificationService/services/Common')"
change,"['soapService=HLR-RR-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 2]","('http://10.113.21.4:10180/NotificationService/services/Common', 'http://10.113.45.4:10180/NotificationService/services/Common')"
change,"['soapService=HLR-BC-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 0]","('http://10.113.45.4:10180/NotificationService/services/Common', 'http://10.113.37.4:10180/NotificationService/services/Common')"
change,"['soapService=HLR-BC-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 1]","('http://10.113.37.4:10180/NotificationService/services/Common', 'http://10.113.21.4:10180/NotificationService/services/Common')"
change,"['soapService=HLR-BC-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 2]","('http://10.113.21.4:10180/NotificationService/services/Common', 'http://10.113.45.4:10180/NotificationService/services/Common')"
change,"['soapService=HLR-RR-DEL-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 0]","('http://10.113.45.4:10180/NotificationService/services/Common', 'http://10.113.37.4:10180/NotificationService/services/Common')"
change,"['soapService=HLR-RR-DEL-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 1]","('http://10.113.37.4:10180/NotificationService/services/Common', 'http://10.113.21.4:10180/NotificationService/services/Common')"
change,"['soapService=HLR-RR-DEL-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 2]","('http://10.113.21.4:10180/NotificationService/services/Common', 'http://10.113.45.4:10180/NotificationService/services/Common')"
change,"['soapService=CRM-CHG-OVR-SERVICE,configType=soapClient,config=sdf,', 'soapUrlList', 0]","('http://10.113.45.4:10180/NotificationService/services/Common', 'http://10.113.37.4:10180/NotificationService/services/Common')"
